LGD_Code,District_SSLR,Taluk_SSLR (Subdistrict),Hobli_SSLR,Village_SSLR,ULB_SSLR,District_GOI_Dir,Subdistrict_GOI_Dir,Village_GOI_Dir,VillageStatus_GOI_Dir,District_NIC,GramPanchayat_NIC,Village_NIC
597114,Belgaum District,NIPPANI,Nippani,Hadhanala,,BELAGAVI,NIPPANI,Hadnal,Inhabitant,BELAGAVI,APPACHIWADI,Hadnal
597115,Belgaum District,NIPPANI,Nippani,Sulagaov,,BELAGAVI,NIPPANI,Sulagaon,Inhabitant,BELAGAVI,APPACHIWADI,Sulagaon
597116,Belgaum District,NIPPANI,Nippani,Matthiwade,,BELAGAVI,NIPPANI,Mattiwade,Inhabitant,BELAGAVI,APPACHIWADI,Mattiwade
597117,Belgaum District,NIPPANI,Nippani,Bhatanaganura,,BELAGAVI,NIPPANI,Bhatnaganur,Inhabitant,BELAGAVI,KURLI,Bhatnaganur
597118,Belgaum District,NIPPANI,Nippani,Kurali+APPACHIVADI,,BELAGAVI,NIPPANI,Kurli,Inhabitant,BELAGAVI,KURLI,Kurli
597119,,,,,,BELAGAVI,Chikodi,Appachiwadi,Inhabitant,BELAGAVI,APPACHIWADI,Appachiwadi
597120,Belgaum District,NIPPANI,Nippani,Konganolli,,BELAGAVI,NIPPANI,Koganoli,Inhabitant,BELAGAVI,KOGANOLLI,Koganoli
597121,Belgaum District,NIPPANI,Nippani,Hanabarawadi(H)(NRV Village came in notification),,BELAGAVI,NIPPANI,Hanabarawadi,Inhabitant,BELAGAVI,KOGANOLLI,Hanabarawadi
597122,Belgaum District,NIPPANI,Nippani,Hanchinala.K.S,,BELAGAVI,NIPPANI,Hanchinal (K.S.),Inhabitant,BELAGAVI,ADI,Hanchinal (K.S.)
597123,Belgaum District,NIPPANI,Nippani,Bennadi,,BELAGAVI,NIPPANI,Benadi,Inhabitant,BELAGAVI,BENADI,Benadi
597124,Belgaum District,NIPPANI,Nippani,Bolewadi(H)(NRV Village came in notification),,BELAGAVI,NIPPANI,Bolewadi,Inhabitant,BELAGAVI,BENADI,Bolewadi
597125,Belgaum District,NIPPANI,Nippani,Akkola,,BELAGAVI,NIPPANI,Akkol,Inhabitant,BELAGAVI,AKKOL,Akkol
597126,Belgaum District,NIPPANI,Nippani,Padlihala,,BELAGAVI,NIPPANI,Padlihal,Inhabitant,BELAGAVI,LAKHANAPUR,Padlihal
597127,Belgaum District,NIPPANI,Nippani,Lakhanapura,ULB,BELAGAVI,NIPPANI,Lakhanapur,Inhabitant,BELAGAVI,LAKHANAPUR,Lakhanapur
597128,Belgaum District,NIPPANI,Nippani,Jathrata,ULB,BELAGAVI,NIPPANI,Jatrat,Inhabitant,BELAGAVI,JATHRAT,Jatrat
597129,Belgaum District,NIPPANI,Nippani,Adi,,BELAGAVI,NIPPANI,Adi,Inhabitant,BELAGAVI,ADI,Adi
597130,Belgaum District,NIPPANI,Nippani,Bheevasi,,BELAGAVI,NIPPANI,Bhivashi,Inhabitant,BELAGAVI,SOUNDALGA,Bhivashi
597131,Belgaum District,NIPPANI,Nippani,Naganura,,BELAGAVI,NIPPANI,Naganur,Inhabitant,BELAGAVI,YAMAGARANI,Naganur
597132,Belgaum District,NIPPANI,Nippani,Yamagarni,ULB,BELAGAVI,NIPPANI,Yamagarni,Inhabitant,BELAGAVI,YAMAGARANI,Yamagarni
597133,Belgaum District,NIPPANI,Nippani,Sendhalaga,,BELAGAVI,NIPPANI,Soundalga,Inhabitant,BELAGAVI,SOUNDALGA,Soundalga
597134,Belgaum District,NIPPANI,Nippani,Boodhihala,,BELAGAVI,NIPPANI,Budihal,Inhabitant,BELAGAVI,YAMAGARANI,Budihal
597135,Belgaum District,NIPPANI,Nippani,Kodani,ULB,BELAGAVI,NIPPANI,Kodni,Inhabitant,BELAGAVI,KODANI,Kodni
